Model,Direction,Type,n,Median immediate curvature,Median future curvature,Median horizon curvature,Future / immediate,Null energy fraction,% of single-target top immediate,% of horizon-top future,Interpretation
LLaMA-2-7B,"Top directions of single-target $K_{\ell,t}$",single_target_top,192,0.1295960477345912,0.0024234571181836,0.1456139271846158,0.0789561367475144,0.0,100.0,1.3202696427663478,Positive control for immediate target sensitivity.
LLaMA-2-7B,Top directions of horizon geometry,horizon_top,96,5.889922970405091e-05,0.183557740001183,0.2183472879633259,1859.7313723054488,,0.04544832248640387,100.0,Positive control for future-token sensitivity.
LLaMA-2-7B,Data-driven null: layer update,layer_update_null,96,1.639439034917569e-05,0.0004706034827426,0.0005262622496923,30.93252927816599,0.9999963345763668,0.012650378337733654,0.2563789915584965,Almost entirely null; tiny immediate effect; future effect far below horizon-top.
LLaMA-2-7B,Data-driven null: inter-example difference,pair_difference_null,96,1.4223337182448318e-05,0.0004742979001788,0.0004886226714941,37.58337079352926,0.9999998840443118,0.010975131904930682,0.2583916647566827,Almost entirely null; tiny immediate effect; future effect far below horizon-top.
LLaMA-2-7B,Data-driven null: CE-gradient stress test,ce_gradient_null,96,0.0128584765141192,0.0012695584723299,0.0357480154892001,0.3310594440877493,0.0037319223395911,9.921966555996345,0.6916398471247891,Stress test: loss-aligned direction retains nontrivial null component; shows why horizon analysis is needed.
LLaMA-2-7B,Synthetic random projected-null control,random_null,192,1.7465705635137333e-05,0.0004839682395941,0.0005102508323791,28.15046402481279,0.9999988973104816,0.013477035712467536,0.2636599467780443,Almost entirely null; tiny immediate effect; future effect far below horizon-top.
Mistral-7B,"Top directions of single-target $K_{\ell,t}$",single_target_top,192,3.055186852751187,0.2989929772842986,3.913181667753068,0.1635437169223849,0.0,100.0,2.0479278966558128,Positive control for immediate target sensitivity.
Mistral-7B,Top directions of horizon geometry,horizon_top,96,0.047216589505901,14.599780479212308,14.600556314107694,311.0795852568542,,1.5454566866632917,100.0,Positive control for future-token sensitivity.
Mistral-7B,Data-driven null: layer update,layer_update_null,96,0.0017073657973525,0.013961068847549,0.0160113820843004,10.579664466879468,0.9999946931935424,0.055884169435169634,0.09562519701873101,Almost entirely null; tiny immediate effect; future effect far below horizon-top.
Mistral-7B,Data-driven null: inter-example difference,pair_difference_null,96,0.0012233051915205,0.0091906201569526,0.0098381619230505,10.393703794395677,0.9999997796126248,0.04004027414620868,0.0629503996312721,Almost entirely null; tiny immediate effect; future effect far below horizon-top.
Mistral-7B,Data-driven null: CE-gradient stress test,ce_gradient_null,96,0.5488471453962491,0.5516408510015008,1.1426908810139187,0.7289888072753574,0.1527216862408588,17.964437916522645,3.7784188042206996,Stress test: loss-aligned direction retains nontrivial null component; shows why horizon analysis is needed.
Mistral-7B,Synthetic random projected-null control,random_null,192,0.0014498249939753,0.0104969480290004,0.0118777643904701,9.967476847271731,0.999998450280252,0.04745454415234004,0.07189798534263121,Almost entirely null; tiny immediate effect; future effect far below horizon-top.
